City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,daru,-9.0763,143.2092,28.16,75,37,3.26,PG,1701330451
222,la'ie,21.6477,-157.9253,22.81,84,81,3.42,US,1701330648
223,mugia,43.1041,-9.2179,11.06,56,100,6.15,ES,1701330648
224,anadyr,64.75,177.4833,-2.72,86,75,10.0,RU,1701330649
225,borba,-4.3878,-59.5939,23.92,87,34,1.03,BR,1701330649
226,poronaysk,49.2167,143.1167,-10.58,83,90,5.04,RU,1701330649
227,eyl,7.9803,49.8164,31.02,45,68,10.44,SO,1701330650
228,whakatane,-37.9585,176.9854,16.54,78,78,0.84,NZ,1701330525
229,luderitz,-26.6481,15.1594,22.72,56,0,4.85,NA,1701330652
230,wynyard,-41.0,145.7167,15.84,66,100,1.45,AU,1701330653
231,kampong chhnang,12.1667,104.55,32.82,55,98,2.22,KH,1701330653
232,rongelap,11.1635,166.8941,28.12,73,100,9.1,MH,1701330654
233,luwuk,-0.9516,122.7875,28.23,83,100,1.37,ID,1701330483
234,comodoro rivadavia,-45.8667,-67.5,16.92,45,0,11.32,AR,1701330654
235,dapa,9.7594,126.0531,27.76,77,100,2.96,PH,1701330655
236,nuku'alofa,-21.1333,-175.2,26.19,94,75,3.09,TO,1701330655
237,schmalkalden,50.7167,10.45,-1.64,95,99,1.04,DE,1701330656
238,mersing,2.4312,103.8405,29.95,79,40,6.69,MY,1701330656
239,acajutla,13.5928,-89.8275,25.76,70,90,2.57,SV,1701330656
240,claveria,18.6074,121.0832,26.12,89,89,6.89,PH,1701330656
241,nacaome,13.5361,-87.4875,22.66,79,12,1.94,HN,1701330657
242,beyneu,45.3167,55.2,6.3,49,69,9.3,KZ,1701330657
243,ambalangoda,6.2355,80.0538,28.54,73,77,3.4,LK,1701330658
244,puerto escondido,15.85,-97.0667,25.82,79,100,1.87,MX,1701330448
245,naze,28.3667,129.4833,17.51,73,100,7.85,JP,1701330658
246,macheng,31.1783,115.0319,8.3,32,100,4.52,CN,1701330659
247,narasapur,16.45,81.6667,31.8,42,46,4.75,IN,1701330659
248,bau,7.4053,124.6497,28.28,72,87,1.62,PH,1701330659
249,tazovsky,67.4667,78.7,-20.85,97,7,3.3,RU,1701330660
250,tokar,18.4254,37.729,31.41,50,8,9.36,SD,1701330660
251,port lincoln,-34.7333,135.8667,18.45,67,100,6.03,AU,1701330660
252,matthew town,20.95,-73.6667,25.56,82,71,5.9,BS,1701330661
253,san antonio de pale,-1.4014,5.6325,26.97,81,99,2.7,GQ,1701330661
254,inirida,3.8653,-67.9239,23.05,91,88,0.64,CO,1701330661
255,fort mcmurray,56.7268,-111.381,-1.23,80,100,5.14,CA,1701330662
256,lichinga,-13.3128,35.2406,20.05,100,75,2.0,MZ,1701330662
257,mahajanga,-15.7167,46.3167,32.01,66,40,4.63,MG,1701330663
258,wenling,28.3669,121.36,12.94,65,99,7.42,CN,1701330663
259,ende,-8.8432,121.6623,29.15,78,92,1.2,ID,1701330664
260,insar,53.8653,44.3738,0.86,98,100,7.03,RU,1701330664
261,burang,30.25,81.1667,-1.83,46,97,4.26,CN,1701330664
262,sisimiut,66.9395,-53.6735,0.01,96,100,1.74,GL,1701330665
263,moss bluff,30.3027,-93.1907,11.66,74,100,4.12,US,1701330665
264,brisas de zicatela,15.8369,-97.0419,25.71,79,100,1.91,MX,1701330666
265,maintirano,-18.0667,44.0167,30.36,67,14,5.38,MG,1701330666
266,madang,-5.2246,145.7966,27.58,82,97,1.57,PG,1701330666
267,ilulissat,69.2167,-51.1,5.01,52,75,2.57,GL,1701330464
268,afaahiti,-17.75,-149.2833,26.93,89,100,9.17,PF,1701330667
269,ola,59.5833,151.2833,-16.46,85,12,2.88,RU,1701330667
270,nanauta,29.7125,77.4158,25.26,39,55,1.79,IN,1701330668
271,nagqu,31.5,92.0,-0.15,32,100,4.02,CN,1701330668
272,arkhangel'sk,64.5401,40.5433,-6.94,86,100,2.0,RU,1701330668
273,st. john's,47.5649,-52.7093,-1.23,92,100,6.69,CA,1701330412
274,acapulco de juarez,16.8634,-99.8901,24.71,86,100,1.97,MX,1701330669
275,newman,37.3138,-121.0208,11.14,88,92,1.21,US,1701330670
276,nova vicosa,-17.8919,-39.3719,23.53,90,70,4.03,BR,1701330670
277,linhares,-19.3911,-40.0722,22.04,95,92,2.29,BR,1701330670
278,revda,56.801,59.9303,-4.43,89,100,2.72,RU,1701330671
279,kyshtovka,56.555,76.6271,-2.97,91,100,1.9,RU,1701330671
280,taoudenni,22.6783,-3.9836,19.27,15,0,2.19,ML,1701330526
281,happy valley-goose bay,53.3168,-60.3315,-11.83,72,75,5.14,CA,1701330672
282,dudinka,69.4058,86.1778,-22.33,99,89,1.18,RU,1701330672
283,plymouth,41.8334,-70.8328,2.06,66,100,1.54,US,1701330672
284,itabirito,-20.2533,-43.8014,21.54,91,88,0.8,BR,1701330673
285,sitka,57.0531,-135.33,7.94,57,100,10.8,US,1701330449
286,galesong,-5.3166,119.3661,24.01,72,98,3.86,ID,1701330673
287,bang len,14.0219,100.1718,33.97,47,27,4.35,TH,1701330674
288,vila franca do campo,37.7167,-25.4333,17.16,99,100,11.93,PT,1701330674
289,mount gambier,-37.8333,140.7667,17.15,64,3,5.7,AU,1701330674
290,yaren,-0.5472,166.916,27.81,78,100,7.55,NR,1701330675
291,bedele,8.456,36.353,19.18,42,89,2.87,ET,1701330675
292,luganville,-15.5333,167.1667,26.71,83,92,4.18,VU,1701330675
293,bikenibeu village,1.3673,173.1241,28.98,79,75,3.09,KI,1701330676
294,toulepleu guere,6.574,-8.4259,23.23,95,74,0.28,CI,1701330676
295,freeport,40.6576,-73.5832,2.76,58,75,5.66,US,1701330677
296,souillac,-20.5167,57.5167,29.21,65,20,6.69,MU,1701330677
297,capilla del monte,-30.8609,-64.5251,15.75,87,92,1.62,AR,1701330677
298,taro,-8.3862,115.28,28.0,88,97,1.26,ID,1701330678
299,gisborne,-38.6533,178.0042,16.57,71,20,3.28,NZ,1701330679
300,huron,41.1501,-82.5499,1.77,76,0,4.87,US,1701330679
301,lompoc,34.6391,-120.4579,12.18,90,40,2.57,US,1701330470
302,san jose de mayo,-34.3375,-56.7136,16.36,95,0,2.38,UY,1701330679
303,callao,-12.0667,-77.15,20.95,82,100,3.09,PE,1701330442
304,lamar,33.6668,-95.5836,12.77,62,100,5.14,US,1701330681
305,puerto baquerizo moreno,-0.9,-89.6,23.88,79,29,3.55,EC,1701330681
306,muroto-misakicho,33.2833,134.15,13.01,55,100,6.65,JP,1701330681
307,mil'kovo,55.6078,37.7956,0.23,94,100,5.13,RU,1701330682
308,oyem,1.5995,11.5793,24.45,80,26,0.4,GA,1701330682
309,thurso,58.5927,-3.5259,4.14,74,100,5.39,GB,1701330682
310,igbor,7.4527,8.6098,28.65,65,6,2.73,NG,1701330683
311,bode saadu,8.9333,4.7833,29.46,59,100,0.51,NG,1701330684
312,garden city,42.3256,-83.331,1.1,92,20,3.6,US,1701330685
313,veinticinco de mayo,-35.4323,-60.1727,14.43,98,0,0.61,AR,1701330685
314,bahir dar,11.5936,37.3908,21.75,35,6,3.69,ET,1701330685
315,hailey,43.5196,-114.3153,-6.08,86,0,3.6,US,1701330421
316,la manga del mar menor,37.6413,-0.7165,17.37,95,20,4.92,ES,1701330686
317,la passe,45.5549,-0.8967,7.13,92,100,0.38,FR,1701330686
318,island harbour,50.724,-1.2758,3.29,79,100,4.02,GB,1701330687
319,gaalkacyo,6.7697,47.4308,32.04,22,62,8.89,SO,1701330687
320,nelson bay,-32.7167,152.15,29.03,65,67,5.27,AU,1701330688
321,salamanca,40.8333,-6.0,12.88,91,100,8.28,ES,1701330544
322,canutama,-6.5339,-64.3831,23.04,97,100,0.71,BR,1701330688
323,barah,13.7,30.3667,30.84,22,30,7.23,SD,1701330689
324,arcelia,18.2833,-100.2667,21.42,78,99,0.91,MX,1701330689
325,kasempa,-13.4584,25.8338,21.45,83,96,1.91,ZM,1701330689
326,fada,9.5667,8.3,28.24,23,52,2.24,NG,1701330690
327,saint-philippe,-21.3585,55.7679,27.77,73,49,3.54,RE,1701330690
328,achinsk,56.2694,90.4993,-7.67,77,96,4.02,RU,1701330691
329,egilsstadir,65.2653,-14.3948,-0.05,100,100,3.6,IS,1701330691
330,rantauprapat,2.1,99.8333,26.4,92,100,0.85,ID,1701330691
